1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	5_clip	6_clip	7_clip	8_clip	9_clip
sq90	103	11	44	63	83	41	50	34	40	39	25	102	66	33	64	27	29	29	59	52	50	0	65	0	0	0	0	0	0	0	0	1	82	0	0	0	0	1	0	52	108	37	65	56
sq91	169	50	35	34	79	23	20	30	12	27	32	198	49	31	66	20	19	31	38	22	29	0	68	1	0	1	0	0	0	2	2	5	81	1	1	0	0	0	0	54	85	59	65	63
sq92	55	14	21	22	26	17	17	31	45	21	39	68	22	12	16	12	36	28	98	67	58	0	24	0	1	2	2	4	5	8	1	0	77	3	1	0	7	16	8	76	93	108	225	103
sq93	164	11	70	80	82	45	57	30	32	22	23	140	59	43	75	31	42	44	33	34	34	0	63	1	1	0	0	0	0	1	2	0	62	0	9	0	1	0	2	34	70	25	19	19
sq94	0	0	2	1	2	1	1	3	3	0	0	0	2	1	5	0	1	1	1	0	0	3	0	237	47	79	84	109	70	92	0	3	0	66	148	53	93	47	285	0	0	0	0	0
sq95	0	0	5	0	6	0	1	1	1	1	3	0	4	2	3	0	1	1	1	1	3	0	0	3	94	47	87	262	50	69	6	0	0	69	35	56	136	153	293	0	0	0	0	0
sq96	2	1	17	12	23	25	10	7	10	10	7	3	23	10	21	20	7	7	24	8	31	2	0	33	76	55	74	214	33	70	0	0	2	156	34	56	87	79	124	0	0	0	0	0
sq97	0	0	5	3	2	3	1	5	1	0	4	1	1	5	11	3	2	4	6	6	12	0	1	0	42	57	119	279	116	182	0	0	0	22	29	54	132	72	177	0	0	0	1	0
sq98	20	0	2	12	20	17	25	27	46	24	40	44	2	9	16	9	21	40	68	37	49	1	11	2	0	1	0	6	0	2	1	1	145	1	0	0	0	1	2	110	168	107	146	108
sq99	30	19	56	85	97	49	28	25	22	10	15	54	70	41	97	30	20	19	33	23	42	1	12	146	21	13	19	33	14	14	23	3	2	26	9	13	18	16	40	4	8	2	4	3
sq100	9	0	18	25	24	37	53	50	60	43	57	11	36	26	58	47	36	56	146	91	95	0	15	0	4	1	9	23	2	4	0	0	24	13	0	2	15	6	12	17	39	36	42	39
sq101	0	0	5	5	3	3	1	0	0	0	0	0	2	6	5	1	3	3	6	1	5	0	0	1	46	81	110	270	136	175	0	0	0	8	6	33	70	77	211	0	0	0	0	0
sq102	44	1	15	26	29	7	16	25	29	26	35	47	18	21	31	17	20	29	83	71	56	0	29	0	1	1	3	3	3	4	0	0	81	4	1	0	7	8	5	61	80	90	138	103
sq103	2	0	4	10	4	13	13	11	14	13	16	2	5	5	14	6	9	16	27	43	31	0	0	55	65	46	28	90	37	33	23	2	1	130	65	71	54	200	95	0	1	7	1	3
sq104	30	10	12	15	20	22	34	30	34	24	52	33	14	6	14	18	34	29	97	84	72	1	27	0	1	0	1	3	2	2	0	0	67	4	0	0	2	1	5	35	86	59	160	113
sq105	99	5	25	40	42	18	42	31	23	20	34	72	32	17	51	15	23	26	44	46	38	0	55	0	0	0	0	0	0	0	0	2	68	0	3	0	0	0	0	50	108	52	62	64
sq106	112	11	46	47	64	27	32	22	9	15	31	99	57	31	61	15	42	26	37	38	30	0	40	0	0	0	2	0	0	0	1	0	78	0	1	0	1	0	0	49	62	21	53	28
sq107	38	0	20	21	19	16	44	50	37	51	57	56	26	15	24	28	43	50	91	69	43	0	28	0	0	0	0	0	0	1	0	0	64	1	0	0	0	0	0	33	83	34	55	46
sq108	7	1	16	23	13	16	33	14	32	28	35	4	14	13	20	3	14	13	27	63	22	1	5	52	39	53	39	40	32	29	1	2	24	28	20	51	17	97	62	4	26	26	25	49
sq109	6	256	1	2	0	0	1	0	6	1	2	1	0	3	1	1	2	4	0	2	6	5	1	294	1	6	5	0	3	3	141	150	1	21	41	38	17	11	14	4	3	1	9	1
sq110	5	3	26	26	38	15	13	15	24	26	24	7	30	17	36	15	12	18	52	32	33	0	2	1	32	30	69	76	33	71	0	0	2	21	8	17	48	30	110	7	5	8	11	8
sq111	0	0	1	5	2	3	2	0	5	2	3	0	2	0	4	0	1	4	1	2	4	0	0	25	109	78	80	213	91	72	1	0	0	50	14	24	68	66	120	0	0	0	0	0
sq112	1	0	18	27	28	42	34	57	68	47	74	2	32	18	36	16	41	43	99	85	85	0	0	0	3	3	20	24	13	5	0	0	2	3	1	3	8	16	37	1	8	7	2	9
sq113	0	1	2	2	4	0	0	1	0	0	2	0	3	1	3	2	1	0	3	0	1	1	0	100	58	43	44	181	48	41	13	0	0	31	18	29	99	85	195	0	0	1	0	0
sq114	8	0	0	1	1	14	9	11	28	24	38	6	1	0	3	10	14	25	51	62	44	0	4	0	5	1	5	5	6	2	0	0	51	1	0	0	0	2	3	44	70	120	182	138
sq115	15	31	8	15	12	12	22	20	20	45	27	18	5	11	10	10	20	19	32	42	29	1	35	51	9	10	18	19	15	12	1	0	46	12	12	24	20	31	25	21	66	20	35	70
sq116	27	0	18	11	22	19	23	20	26	16	44	32	19	11	21	13	36	36	54	54	42	0	33	3	1	9	8	24	12	7	0	0	54	6	6	1	11	17	24	32	50	19	54	45
sq117	0	0	6	12	27	12	3	2	2	4	4	0	10	5	34	5	4	1	8	5	18	2	0	175	77	25	46	148	13	33	12	1	0	29	38	18	50	36	87	0	0	0	0	0
sq118	7	1	3	5	4	1	8	8	10	18	21	20	1	2	3	2	12	10	52	39	31	0	3	0	2	3	6	13	5	10	1	0	51	0	0	1	14	8	24	36	59	90	220	127
sq119	8	0	0	3	3	9	11	5	21	15	16	5	3	1	3	10	21	11	36	37	26	0	8	0	1	0	1	0	1	2	0	0	82	0	0	0	3	0	0	60	98	135	155	119
sq120	27	0	5	11	18	9	13	8	11	7	20	40	7	10	13	12	21	11	44	40	25	0	11	7	2	1	5	16	5	3	0	0	62	0	2	3	11	12	20	26	40	63	149	108
sq121	17	0	6	15	19	16	26	18	43	52	39	10	10	11	26	11	19	38	66	87	53	0	8	0	2	1	8	14	4	12	0	1	33	1	5	1	9	6	17	24	35	34	39	47
sq122	53	3	19	25	23	15	33	27	29	18	17	69	20	16	30	10	32	19	48	26	23	0	35	1	0	0	3	1	1	0	0	0	71	1	1	0	1	0	1	51	54	16	48	29
sq123	17	3	13	13	21	17	35	29	25	12	28	36	13	5	18	10	29	26	51	22	29	0	26	2	6	6	7	35	10	19	0	0	24	10	0	2	22	22	51	30	59	18	32	35
sq124	1	1	34	21	54	26	10	21	14	1	19	1	41	18	40	21	15	16	23	21	26	0	0	66	62	44	75	33	16	17	6	1	0	34	18	18	7	17	25	1	1	0	0	0
sq125	5	0	10	20	13	6	5	2	2	5	9	4	6	7	21	2	7	4	13	10	17	0	1	36	25	62	33	58	24	20	12	0	3	38	33	83	35	126	84	3	2	4	5	3
sq126	2	0	7	11	10	16	12	22	13	27	29	5	2	4	11	20	13	25	52	35	35	0	12	9	7	6	33	37	22	36	0	0	7	21	40	42	34	41	93	7	17	8	21	11
sq127	4	1	23	17	9	11	13	6	24	16	21	1	8	7	12	1	7	11	11	20	11	3	1	48	36	72	55	48	41	37	0	0	4	22	24	23	17	70	82	1	4	14	9	8
sq128	0	0	3	8	0	1	1	1	1	0	1	1	6	0	4	1	0	5	2	1	5	0	0	5	57	53	94	93	42	47	0	0	1	77	10	47	68	64	149	0	0	0	0	0
sq129	10	0	1	2	3	5	13	4	16	10	14	23	2	2	2	2	3	13	27	27	21	0	3	0	2	4	3	17	8	9	0	0	37	2	2	3	14	13	37	33	65	84	196	107
sq130	4	0	2	7	1	3	4	4	17	11	13	26	3	1	6	0	4	10	22	27	11	0	6	0	11	27	28	49	23	37	26	0	7	12	7	52	71	82	108	12	23	24	24	30
sq131	76	1	18	19	27	14	27	29	26	20	26	73	30	14	48	17	30	32	42	32	28	0	20	0	0	0	0	0	0	0	1	0	38	0	2	0	0	0	0	39	55	12	21	13
sq132	53	1	5	7	3	2	5	4	10	2	7	5	7	10	8	3	55	4	12	148	12	0	3	26	2	1	4	7	4	3	14	0	153	14	1	0	0	12	17	5	16	158	12	15
sq133	92	47	29	35	42	17	12	13	14	4	3	116	26	23	42	14	14	20	30	19	24	0	31	4	0	0	0	0	0	0	0	0	29	0	1	0	0	0	0	20	43	14	14	20
sq134	0	0	7	4	7	3	5	16	2	1	8	2	4	4	4	7	7	10	31	16	22	0	0	0	22	17	131	71	26	48	0	0	1	45	24	18	64	69	114	0	0	0	1	0
sq135	40	0	1	2	5	1	4	2	10	2	11	6	2	10	1	2	62	7	29	169	18	0	3	4	0	1	2	5	2	1	0	1	138	11	15	5	2	10	1	6	9	168	20	22
sq136	0	0	3	4	8	1	1	0	0	0	2	0	2	1	6	0	0	1	1	1	4	0	0	184	45	41	21	104	79	58	5	0	0	13	5	10	45	27	131	0	0	0	0	0
sq137	70	0	28	33	28	9	30	14	20	14	18	70	29	17	34	13	22	16	26	21	19	0	55	1	0	0	0	0	0	0	1	0	40	1	1	0	0	0	0	29	65	16	23	28
sq138	24	1	6	14	3	7	9	5	8	9	13	25	3	4	12	1	12	9	20	19	8	0	15	0	2	17	15	28	31	27	0	0	53	8	9	4	34	32	56	19	46	64	65	44
sq139	37	0	4	9	3	5	9	7	8	6	15	0	4	7	7	2	33	7	10	87	6	0	4	195	5	16	6	4	5	3	18	2	85	21	13	7	4	7	3	4	17	65	6	16
sq140	6	0	1	6	6	4	8	9	16	9	23	23	3	2	3	4	14	11	46	21	19	1	7	0	0	0	3	0	4	6	0	0	50	0	1	4	9	13	8	35	70	61	151	113
sq141	3	2	17	21	12	13	10	14	14	4	10	2	9	7	18	5	17	15	12	12	14	1	3	157	11	12	19	9	6	3	16	1	1	60	58	44	13	68	44	0	6	1	2	1
