locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PROKKA_102553,334.1619887,3.494304069,0.630517816,5.541959294,2.99E-08,1.97E-06
PROKKA_102554,12.25520628,5.933932008,0.962039392,6.16807592,6.91E-10,6.28E-08
PROKKA_102555,25.9287759,5.066262383,0.667823996,7.586223931,3.29E-14,6.15E-12
PROKKA_102556,13.09847065,4.323623919,0.785495237,5.504328628,3.71E-08,2.40E-06
PROKKA_102557,13.03562516,4.662729458,0.913409799,5.104750863,3.31E-07,1.72E-05
PROKKA_102558,15.10212289,7.354483698,1.238188374,5.939713096,2.86E-09,2.36E-07
PROKKA_102575,5.209568277,6.04496684,1.418329607,4.262032472,2.03E-05,0.000672775
PROKKA_102578,9.433417907,4.718133014,0.975635568,4.835958393,1.33E-06,5.93E-05
PROKKA_102579,22.68488353,7.902548767,1.110561172,7.115815827,1.11E-12,1.63E-10
PROKKA_102580,21.43988453,5.941939827,0.881207794,6.742949697,1.55E-11,1.90E-09
PROKKA_102581,19.20259669,6.448453828,0.955611671,6.747985635,1.50E-11,1.84E-09
PROKKA_102582,5.197577389,6.308684126,1.336742128,4.719447373,2.36E-06,0.0001005
PROKKA_102776,191.8368131,7.174769192,0.650269841,11.033526,2.63E-28,5.42E-25
PROKKA_102777,34.52410533,7.838756092,0.955997219,8.199559511,2.41E-16,6.42E-14
PROKKA_102778,5.322917026,6.943900397,1.419233125,4.892713028,9.95E-07,4.59E-05
PROKKA_102779,18.20706988,5.743211466,0.876385538,6.553293291,5.63E-11,6.13E-09
PROKKA_102780,36.7165707,6.520696464,0.856776247,7.610734411,2.73E-14,5.14E-12
PROKKA_102827,23.72391514,7.556328708,1.091993126,6.91975849,4.52E-12,6.01E-10
PROKKA_102829,56.52977477,6.288589146,0.842174156,7.467088724,8.20E-14,1.43E-11
PROKKA_102830,9.580072875,6.197876088,1.311429162,4.726047177,2.29E-06,9.76E-05
PROKKA_102831,86.77048764,6.952941592,0.729546692,9.530495668,1.57E-21,1.07E-18
PROKKA_102832,28.67472096,5.664213244,0.814236813,6.956469118,3.49E-12,4.75E-10
PROKKA_175433,5.931979449,6.061812472,1.268226537,4.779755269,1.76E-06,7.67E-05
PROKKA_102998,5.215589441,5.63514001,1.321598116,4.263883204,2.01E-05,0.000668904
PROKKA_102999,5.951190644,6.756007007,1.426027166,4.737642571,2.16E-06,9.27E-05
PROKKA_103002,14.29588957,7.409380173,1.250665878,5.924348224,3.14E-09,2.57E-07
PROKKA_103003,125.0754052,6.848877059,0.679264296,10.08278677,6.58E-24,6.85E-21
PROKKA_103004,17.71130878,6.152939341,0.960074551,6.40881412,1.47E-10,1.50E-08
PROKKA_103005,9.901454253,6.546482306,1.252558896,5.226486618,1.73E-07,9.54E-06
PROKKA_103006,7.653012446,6.268762554,1.279241067,4.90037626,9.57E-07,4.45E-05
PROKKA_175635,13.31202834,5.306014437,0.924667086,5.738297076,9.56E-09,7.18E-07
PROKKA_10582,19.54517269,5.339751688,0.784197723,6.809190505,9.81E-12,1.24E-09
PROKKA_10583,21.35345031,7.189206427,0.979582208,7.339053696,2.15E-13,3.53E-11
PROKKA_10585,5.279761902,6.432308193,1.421961853,4.523544835,6.08E-06,0.000233718
PROKKA_10586,6.817307157,5.3758893,1.173862409,4.579658792,4.66E-06,0.000183829
PROKKA_10590,11.89043037,5.146767226,0.945099534,5.445740941,5.16E-08,3.25E-06
PROKKA_10600,10.67319782,3.912697942,0.934959294,4.184885876,2.85E-05,0.000897924
PROKKA_10620,9.57504366,5.428753764,1.273602854,4.262516959,2.02E-05,0.000671799
PROKKA_10632,6.168627414,6.736042731,1.376370196,4.894063204,9.88E-07,4.57E-05
